Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Sulfotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Biological Process -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Autophagy, DNA Repair
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair  
Cell Cycle  
Epigenetic  
Proteostasis  
Autophagy
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Phosphatase Binding, Enzyme Binding, Protein Binding, Structural Stabilization
GO Term: Hedgehog Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Lipid Metabolism, Synapse, Immune Response
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Proteostasis
GO Term: Trna Methyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Immune Response, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, Epigenetic, Cell Cycle, DNA Repair
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Autophagy, Epigenetic
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, G Protein-Coupled Receptors (GPCRs), Signaling, Neuropeptide, Receptor Activity
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Trna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Heparin Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Endocrine, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Immune Response
