Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Response To Symbiont -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Response to Biotic Stimulus, Response to External Stimulus, Biological Process Involved in Interspecies Interaction, Response to Other Organism
GO Term: Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Oxidative Stress
GO Term: Response To Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Nematode -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Autophagy, Oxidative Stress
GO Term: Cold Acclimation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Endolysosome, Immune Response
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, DNA Repair, Epigenetic
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, DNA Repair, Mitochondrial Metabolism
GO Term: Photoperiodism -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
