Running with TEMP=0.1, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Zinc Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: L-Glutamine, Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: L-Asparagine, Sodium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Histidine, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Kinase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Histone H2B C-Terminal K Residue Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, DNA Repair
GO Term: Cholesterol-Protein Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Histone H3T45 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H2Ak15 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Dna Repair-Dependent Chromatin Remodeling -> Biodomain: DNA Repair, Epigenetic, Chromatin Organization, Structural Stabilization, Cell Cycle
GO Term: Histone H2Ak119 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2Ak127 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2Ak129 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Interleukin-22-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Mirna Inhibitor Activity Via Base-Pairing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Inhibitor Activity -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Zinc Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dna Replication-Dependent Chromatin Disassembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Sodium,Bicarbonate:Chloride Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Structural Stabilization, Proteostasis
GO Term: Neutral Amino Acid, Sodium:Proton Antiporter Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Endolysosomal Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cell Surface Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, DNA Repair, RNA Spliceosome, Apoptosis, Autophagy
GO Term: Mechanoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Chloride:Bicarbonate Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: L-Asparagine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Glutamine:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Histone H3K122 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Pore-Forming Activity -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Membrane Destabilizing Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Zinc Ion Import Into Secretory Vesicle -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Zinc Ion Import Into Zymogen Granule -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Zinc Ion Import Into Lysosome -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Zinc Ion Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Kynurenine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: L-Kynurenine Transmembrane Transporter Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Inhibition Of Non-Skeletal Tissue Mineralization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
