Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Myelination
GO Term: Interleukin-15 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Nad(P)H Oxidase H2O2-Forming Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Superoxide-Generating Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Apoptosis, Autophagy
GO Term: Superoxide-Generating Nadph Oxidase Activator Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Snrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: Synaptic Vesicle Budding From Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Coating -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Synaptic Vesicle To Endosome Fusion -> Biodomain: Synapse, Endolysosome, Vesicle Trafficking, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Uncoating -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Endosomal Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
