Running with TEMP=0.5, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Autophagy
GO Term: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Chronic Inflammatory Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Respiratory Burst Involved In Defense Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Synapse, Apoptosis, Proteostasis
GO Term: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Epigenetic
GO Term: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cytokine, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Cytokine Signaling, Immune Regulation, Inflammatory Response, Cell Communication
GO Term: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Activation, Immune Signaling
