Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Endolysosome
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Signaling Receptor, Transcription Regulator, Steroid Metabolism, Hormone Signaling
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Signaling, Transmembrane Signaling Receptor, Molecular Transducer Activity, Cytokine Receptor Activity
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling, Metabolism, Immune Response, Development, Cell Proliferation
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Cell Cycle
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Synapse, Proteostasis
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Signaling, Cell Surface, Cytokine, Receptor
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Cell Surface Receptor, Inflammatory Response
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Signaling, Cytokine, Receptor, Cell Adhesion
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Cell Cycle, Vasculature
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Autophagy
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Signaling Receptor, GPCR Signaling, Neurotransmission, Hormonal Signaling, Cell Signaling
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Signaling Receptor Activity, G Protein-Coupled Receptor Activity, Transmembrane Signaling Receptor Activity, Adrenergic Receptor Activity, Molecular Transducer Activity
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Calcitonin Receptor Activity -> Biodomain: Signaling Receptor Activity, G Protein-Coupled Receptor Activity, Peptide Receptor Activity, Molecular Transducer Activity, Transmembrane Signaling Receptor Activity
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Proteostasis, Vasculature
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Autophagy
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Signaling, Oxidative Stress
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity, Hormone Activity, Reproductive System, Cell Cycle, Epigenetic
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Apoptosis, Epigenetic
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Vasculature
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling Receptor, GPCR Signaling, Neuropeptide Signaling, Receptor Binding, Peptide Receptor
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Signaling Receptor Activity, Oxidative Stress, Lipid Metabolism, Immune Response, Vasculature
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Vasculature, Autophagy
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Signaling, Endocrine, GPCR Signaling, Metabolic Regulation, Developmental Processes
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Autophagy
GO Term: Vasopressin Receptor Activity -> Biodomain: Signaling Receptor Activity, Vasculature, Immune Response, Endolysosome, Proteostasis
