Running with TEMP=0.5, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Alkaline Phosphatase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Amidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Tau Homeostasis
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, DNA Repair
GO Term: Apyrase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Arginase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Arylformamidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Immune Response, Proteostasis
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, Vasculature
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, APP Metabolism
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Asparaginase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Apoptosis
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
