Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Apoptosis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Endolysosome, Vasculature
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Synapse
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Synapse, Vasculature
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Signaling, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
