Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Myoblast Fate Specification -> Biodomain: Muscle Development, Cell Differentiation, Cell Fate Commitment, Developmental Processes, Tissue Morphogenesis
GO Term: Myoblast Development -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Skeletal Muscle Tissue Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Muscle Organ Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Muscle Organ Development -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Developmental Growth -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Muscle Organ Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Anatomical Structure Formation Involved In Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Epigenetic
GO Term: Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Oxidative Stress, Structural Stabilization, Immune Response
