Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Zinc Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Glutamine, Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy
GO Term: L-Asparagine, Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Histidine, Sodium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Kinase Activity -> Biodomain: Transcription, Protein Phosphorylation, Transcription Machinery, Epigenetic, Signal Transduction
GO Term: Histone H2B C-Terminal K Residue Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Cholesterol-Protein Transferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Histone H3T45 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Histone H2Ak15 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Dna Repair-Dependent Chromatin Remodeling -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Histone H2Ak119 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2Ak127 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2Ak129 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Interleukin-22-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Endolysosome
GO Term: Mirna Inhibitor Activity Via Base-Pairing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Inhibitor Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Zinc Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Dna Replication-Dependent Chromatin Disassembly -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Sodium,Bicarbonate:Chloride Antiporter Activity -> Biodomain: Endolysosome, Vasculature, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Neutral Amino Acid, Sodium:Proton Antiporter Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Endolysosomal Toll-Like Receptor Signaling Pathway -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cell Surface Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mechanoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Chloride:Bicarbonate Antiporter Activity -> Biodomain: Vasculature, Endolysosome, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: L-Asparagine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: L-Glutamine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse, Autophagy
GO Term: Histone H3K122 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Pore-Forming Activity -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Cell Cycle
