Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Immune Response, Endolysosome
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: APP Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Synapse, Vasculature, APP Metabolism
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Tau Homeostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, APP Metabolism
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Immune Signaling, Cytokine Signaling, Apoptosis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Chemokine Activity, Cytokine Signaling Pathway, Neuroinflammation
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Proteostasis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Adrenergic Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Vasculature, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Vasculature
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Epigenetic, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Signaling, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Bradykinin Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Oxidative Stress
GO Term: Calcitonin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, APP Metabolism, Immune Response
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, APP Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis
