Running with TEMP=0.5, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Photoreceptor Cell Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Chemorepellent Activity -> Biodomain: Immune Response, Synapse, Vasculature, Autophagy, Proteostasis
GO Term: Dynein Light Chain Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Endolysosome
GO Term: Dynein Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Dynein Intermediate Chain Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Interleukin-27 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Proteostasis, Autophagy
GO Term: Interleukin-27 Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-18 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Interleukin-20 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-22 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-23 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Interleukin-27 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic, Structural Stabilization
GO Term: Syndecan Binding -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Ditrans,Polycis-Polyprenyl Diphosphate Synthase [(2E,6E)-Farnesyl Diphosphate Specific] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Geranylgeranyl Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Trail Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Metal Binding and Homeostasis, APP Metabolism
GO Term: Basophil Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mast Cell Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Immune Response
GO Term: Positive Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Apoptosis
