Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Mitochondrial Respiratory Chain Complex Ii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Pirna Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Pirna Processing -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Hydroxyproline Transport -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Hydroxyproline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Synaptic Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Phosphatidylinositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol Phosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Phosphatidylinositol Phosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Vasculature
GO Term: Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, DNA Repair, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Tetrahydrobiopterin Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Synapse, Metal Binding and Homeostasis
GO Term: Arginine Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Cellular Response To Unfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Fatty Acid Elongation, Monounsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Elongation, Polyunsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Retinol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Retinol Transport -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Glutathione Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glutathione Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrion Migration Along Actin Filament -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Histone H3K4Me/H3K4Me2/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Cell Cycle
GO Term: Cortisol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Cortisol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Retinoic Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nucleobase-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle
GO Term: Nucleobase-Containing Compound Catabolic Process -> Biodomain: Autophagy, Endolysosome, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nucleobase-Containing Small Molecule Catabolic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Gid Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Endoplasmic Reticulum Chaperone Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Integrin Alpha1-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Synapse
GO Term: Integrin Alpha2-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alpha3-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Integrin Alpha4-Beta1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Integrin Alpha4-Beta7 Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Chemotaxis To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Inhibin-Betaglycan-Actrii Complex -> Biodomain: Receptor Signaling, Protein Complex Assembly, Cell Growth and Differentiation, Ligand Binding, Cell Communication
GO Term: Integrin Alpha5-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Immune Response
GO Term: Integrin Alpha6-Beta1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alpha6-Beta4 Complex -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Immune Response
