Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Synapse
GO Term: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Respiratory Burst Involved In Defense Response -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Apoptosis
GO Term: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Synapse, Epigenetic, Endolysosome
GO Term: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Epigenetic, Apoptosis
GO Term: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Synapse, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Peptide Secretion -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Autophagy
GO Term: Negative Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Synapse, Autophagy, Vasculature, Immune Response
GO Term: Positive Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Positive Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Biosynthetic Process Of Antibacterial Peptides Active Against Gram-Negative Bacteria -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
