Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Phosphatidylinositol Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Myelination, Proteostasis
GO Term: Metalloendopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Metal Binding and Homeostasis, Tau Homeostasis, Endolysosome
GO Term: Protein Localization To Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Negative Regulation Of Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Mitotic Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Mitotic Dna Replication Preinitiation Complex Assembly -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Dna Strand Elongation Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Mitotic Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Synapse, Tau Homeostasis
GO Term: Positive Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
