Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Poly(A) Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Biological Process -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Hedgehog Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Lipid Metabolism
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, DNA Repair, Cell Cycle
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Synapse, Oxidative Stress
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Trna Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rna Guanylyltransferase Activity -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Trna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Metal Binding and Homeostasis
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Heparin Binding -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Spermine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: Spermidine Metabolic Process -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Cell Death -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Signaling, Intracellular Trafficking, Neurodegeneration, Epigenetic
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Endolysosome
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Serine-Type Peptidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Metallopeptidase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: 5'-Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: 3'-Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Epigenetic, Synapse
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Synapse
GO Term: Poly(U) Rna Binding -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
