Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 6000 to 6499
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Motility, Myelination
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Apoptosis, Proteostasis
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Tau Homeostasis
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Development, Proteostasis
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Telencephalon Regionalization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Myelination
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Pituitary Gland Development -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Adenohypophysis Development -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Neurohypophysis Development -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Habenula Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Apoptosis
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Apoptosis, Structural Stabilization, Synapse, Cell Cycle, DNA Repair
GO Term: Neural Plate Axis Specification -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Structural Stabilization, Epigenetic
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Cell Cycle
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Neurogenesis -> Biodomain: Synapse, Apoptosis, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Cell Cycle, Synapse
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Developmental Process, Structural Stabilization, Synapse, Endolysosome
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Endolysosome, Autophagy, Structural Stabilization, Epigenetic
