Once upon a time, a gentle unicorn named Luna roamed a sparkling meadow filled with flowers that glowed at night. One evening, she discovered a sad little star that had fallen from the sky, and with a twinkle of her horn, she lifted it back into the heavens. From that day on, every night the star would shine brighter, guiding Luna home as they became the best of friends.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Single Strand Break Repair -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis

Pathway: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Lactase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response

Pathway: Alpha-Glucoside Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress

Pathway: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis

Pathway: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Maltose Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Maltose Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis

Pathway: Ribosomal Large Subunit Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Apoptosis

Pathway: Ribosomal Small Subunit Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Endolysosome, DNA Repair

Pathway: Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Glycosylation, Proteostasis, Metal Binding and Homeostasis, Autophagy

Pathway: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Apoptosis

Pathway: Acyl Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, DNA Repair

Pathway: Peptidyltransferase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, DNA Repair, Autophagy

Pathway: Trna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Cell Cycle

Pathway: Urea Cycle -> Biodomain: Metabolic Processes, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Citrulline Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: Argininosuccinate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Ribosomal Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Immune Response, Apoptosis

Pathway: Ribosomal Large Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Autophagy, Cell Cycle, Proteostasis, DNA Repair

Pathway: Ribosomal Small Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis

Pathway: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Amino Acid Metabolism

Pathway: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Autophagy, Proteostasis

Pathway: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Epigenetic

Pathway: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair, Oxidative Stress

Pathway: Sulfur Amino Acid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy

Pathway: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy

Pathway: Sulfur Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

