node,nodeID,root node,root node ID,biodomain,Source
GOMF_HISTONE_H4K16_ACETYLTRANSFERASE_ACTIVITY,GO:0046972,molecular_function,GO:0003674,"Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis",D154
GOMF_HISTONE_H3K27_METHYLTRANSFERASE_ACTIVITY,GO:0046976,molecular_function,GO:0003674,"Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus",D154
GOMF_ACYLGLYCEROL_LIPASE_ACTIVITY,,,,"Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus",D154
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,GO:0048020,molecular_function,GO:0003674,"Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus",D154
GOMF_UBIQUINONE_BINDING,GO:0048039,molecular_function,GO:0003674,"Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking",D154
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING,GO:0050750,molecular_function,GO:0003674,"Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus",D154
GOMF_LIPASE_INHIBITOR_ACTIVITY,GO:0055102,molecular_function,GO:0003674,"Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction",D154
GOMF_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,,,,"Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics",D154
GOMF_PEPTIDASE_REGULATOR_ACTIVITY,GO:0061134,,,"Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics",D154
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,GO:0061135,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process",D154
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING,GO:0070325,molecular_function,GO:0003674,"Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus",D154
GOMF_LYSINE_ACETYLATED_HISTONE_BINDING,,,,"Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process",D154
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_BINDING,GO:0070696,,,"Signal Transduction, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus",D154
GOMF_PRE_MRNA_INTRONIC_BINDING,GO:0097157,molecular_function,GO:0003674,"RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation",D154
GOMF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,GO:0097472,molecular_function,GO:0003674,"Cell Cycle, Signal Transduction, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Response to Stimulus",D154
GOMF_STRUCTURAL_MOLECULE_ACTIVITY_CONFERRING_ELASTICITY,GO:0097493,molecular_function,GO:0003674,"Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis",D154
GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION,GO:0098639,molecular_function,GO:0003674,"Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, System and Developmental Process, Response to Stimulus",D154
GOMF_STRUCTURAL_CONSTITUENT_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON,GO:0098973,molecular_function,GO:0003674,"Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation",D154
GOMF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN_BINDING,GO:0099122,molecular_function,GO:0003674,"Transcription and Translation Machinery, Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus",D154
GOMF_LNCRNA_BINDING,GO:0106222,molecular_function,GO:0003674,"RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis",D154
GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING,GO:0140030,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus",D154
GOMF_METHYLATION_DEPENDENT_PROTEIN_BINDING,GO:0140034,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery",D154
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,GO:0140110,,,"Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process",D154
GOMF_PROTEIN_SEQUESTERING_ACTIVITY,GO:0140311,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis",D154
GOMF_IMMUNE_RECEPTOR_ACTIVITY,GO:0140375,molecular_function,GO:0003674,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction",D154
GOMF_HISTONE_READER_ACTIVITY,GO:0140566,molecular_function,GO:0003674,"Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process",D154
GOMF_NADPLUS_PROTEIN_LYSINE_ADP_RIBOSYLTRANSFERASE_ACTIVITY,GO:0140804,molecular_function,GO:0003674,"Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus",D154
GOMF_CUPRIC_ION_BINDING,GO:1903135,molecular_function,GO:0003674,"Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism",D154
GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,,,,"Signal Transduction, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process",D154
GOBP_HISTONE_H3_K27_TRIMETHYLATION,,,,"Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus",D154
GOBP_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING,GO:0098598,,,"Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process",D154
GOBP_MACROMOLECULE_DEACYLATION,GO:0098732,biological_process,GO:0008150,"Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery, Lipid Metabolism, Response to Stimulus",D154
GOBP_INORGANIC_ION_HOMEOSTASIS,GO:0098771,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics",D154
GOBP_MRNA_CLEAVAGE_INVOLVED_IN_MRNA_PROCESSING,,,,"RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus",D154
GOBP_MRNA_ALTERNATIVE_POLYADENYLATION,,,,"RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,GO:0110110,,,"System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery",D154
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,GO:0120162,biological_process,GO:0008150,"Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Lipid Metabolism",D154
GOBP_MUCOCILIARY_CLEARANCE,GO:0120197,biological_process,GO:0008150,"System and Developmental Process, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis",D154
GOBP_DENDRITE_ARBORIZATION,GO:0140059,biological_process,GO:0008150,"Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction",D154
