dataset,file,total_go_terms,unknown_top1,unknown_top2,unknown_top3,unknown_top4,unknown_top5
01-AD,seed_42,7120,0,0,0,0,0
01-AD,seed_27,7120,0,0,0,0,0
01-AD,seed_2025,7120,0,0,0,0,0
01-AD,seed_42,7120,0,0,0,0,0
01-AD,seed_27,7120,0,0,0,0,0
01-AD,seed_2025,7120,0,0,0,0,0
01-AD,chatgpt_name_temperature_0.0,5418,3,0,0,0,0
01-AD,chatgpt_name_temperature_0.1,5418,2,0,0,0,0
01-AD,chatgpt_name_temperature_0.5,5418,5,0,0,0,1
01-AD,chatgpt_name_temperature_0.9,5418,6,0,1,3,5
01-AD,chatgpt_name_temperature_0.0_unknown,5418,613,565,44,97,853
01-AD,chatgpt_name_structure_temperature_0.0,5418,14,0,0,0,2
01-AD,chatgpt_name_structure_temperature_0.1,5418,16,0,0,0,0
01-AD,chatgpt_name_structure_temperature_0.5,5418,20,0,0,1,6
01-AD,chatgpt_name_structure_temperature_0.9,5418,13,2,0,2,12
01-AD,chatgpt_name_structure_temperature_0.0_unknown,5418,668,412,57,119,1002
01-AD,chatgpt_name_structure_similarity_temperature_0.0,5418,0,0,0,0,0
01-AD,chatgpt_name_structure_similarity_temperature_0.1,5418,0,0,0,0,0
01-AD,chatgpt_name_structure_similarity_temperature_0.5,5418,0,0,0,0,0
01-AD,chatgpt_name_structure_similarity_temperature_0.9,5418,0,0,0,0,1
01-AD,chatgpt_name_structure_similarity_temperature_0.0_unknown,5418,66,1,0,0,3
01-AD,chatgpt_name_AD_temperature_0.0,5418,1,0,0,0,0
01-AD,chatgpt_name_AD_temperature_0.1,5418,0,0,0,0,0
01-AD,chatgpt_name_AD_temperature_0.5,5418,1,0,0,0,0
01-AD,chatgpt_name_AD_temperature_0.9,5418,0,0,0,0,0
01-AD,chatgpt_name_AD_temperature_0.0_unknown,5418,772,1407,578,640,1837
01-AD,deepseek_name_temperature_0.0,5418,0,0,0,0,0
01-AD,deepseek_name_temperature_0.1,5418,0,0,0,0,0
01-AD,deepseek_name_temperature_0.5,5418,0,0,0,0,0
01-AD,deepseek_name_temperature_0.9,5418,0,0,0,0,0
01-AD,deepseek_name_temperature_0.0_unknown,5418,3,27,21,45,321
01-AD,deepseek_name_structure_similarity_temperature_0.0,5418,0,0,0,0,0
01-AD,deepseek_name_structure_similarity_temperature_0.1,5418,0,0,0,0,0
01-AD,deepseek_name_structure_similarity_temperature_0.5,5418,0,0,0,0,0
01-AD,deepseek_name_structure_similarity_temperature_0.9,5418,0,0,0,0,0
01-AD,deepseek_name_structure_similarity_temperature_0.0_unknown,5418,2,30,19,38,288
01-AD,deepseek_name_structure_temperature_0.0,5418,0,0,0,0,0
01-AD,deepseek_name_structure_temperature_0.1,5418,0,0,0,0,0
01-AD,deepseek_name_structure_temperature_0.5,5418,0,0,0,0,0
01-AD,deepseek_name_structure_temperature_0.9,5418,0,0,0,0,0
01-AD,deepseek_name_structure_temperature_0.0_unknown,5418,1,35,27,52,330
01-AD,deepseek_AD_temp_temperature_0.0,5418,0,0,0,0,0
01-AD,deepseek_AD_temp_temperature_0.1,5418,0,0,0,0,0
01-AD,deepseek_AD_temp_temperature_0.5,5418,0,0,0,0,0
01-AD,deepseek_AD_temp_temperature_0.9,5418,0,0,0,0,0
01-AD,deepseek_AD_temp_temperature_0.0_unknown,5418,16,49,27,57,313
01-AD,jaccard_seed_42,7120,0,0,0,0,0
01-AD,jaccard_seed_27,7120,0,0,0,0,0
01-AD,jaccard_seed_2025,7120,0,0,0,0,0
01-AD,similarity_expansion_seed_42,7120,0,0,0,0,0
01-AD,similarity_expansion_seed_27,7120,0,0,0,0,0
01-AD,similarity_expansion_seed_2025,7120,0,0,0,0,0
02-FXS,seed_42,513,0,0,0,0,0
02-FXS,seed_27,513,0,0,0,0,0
02-FXS,seed_2025,513,0,0,0,0,0
02-FXS,seed_42,513,0,0,0,0,0
02-FXS,seed_27,513,0,0,0,0,0
02-FXS,seed_2025,513,0,0,0,0,0
02-FXS,chatgpt_name_temperature_0.0,516,0,0,0,0,0
02-FXS,chatgpt_name_temperature_0.1,516,0,0,0,0,0
02-FXS,chatgpt_name_temperature_0.5,516,0,0,0,0,0
02-FXS,chatgpt_name_temperature_0.9,516,0,0,0,0,0
02-FXS,chatgpt_name_temperature_0.0_unknown,516,17,2,0,2,288
02-FXS,chatgpt_name_structure_temperature_0.5,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_temperature_0.9,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_temperature_0.1,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_temperature_0.0_unknown,516,8,0,0,2,311
02-FXS,chatgpt_name_structure_similarity_temperature_0.0,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_similarity_temperature_0.1,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_similarity_temperature_0.5,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_similarity_temperature_0.9,516,0,0,0,0,0
02-FXS,chatgpt_name_structure_similarity_temperature_0.0_unknown,516,5,1,0,4,286
02-FXS,chatgpt_name_FXS_temperature_0.0,516,0,0,0,0,0
02-FXS,chatgpt_name_FXS_temperature_0.1,516,0,0,0,0,0
02-FXS,chatgpt_name_FXS_temperature_0.5,516,0,0,0,0,0
02-FXS,chatgpt_name_FXS_temperature_0.9,516,0,0,0,0,0
02-FXS,chatgpt_name_FXS_temperature_0.0_unknown,516,10,0,0,0,54
02-FXS,chatgpt_name_structure_temperature_0.0,516,0,0,0,0,0
02-FXS,deepseek_name_temperature_0.0,516,0,0,0,0,0
02-FXS,deepseek_name_temperature_0.1,516,0,0,0,0,0
02-FXS,deepseek_name_temperature_0.5,516,0,0,0,0,0
02-FXS,deepseek_name_temperature_0.9,516,0,0,0,0,0
02-FXS,deepseek_name_temperature_0.0_unknown,516,0,0,0,0,0
02-FXS,deepseek_name_structure_similarity_temperature_0.0,516,0,0,0,0,0
02-FXS,deepseek_name_structure_similarity_temperature_0.1,516,0,0,0,0,0
02-FXS,deepseek_name_structure_similarity_temperature_0.5,516,0,0,0,0,0
02-FXS,deepseek_name_structure_similarity_temperature_0.9,516,0,0,0,0,0
02-FXS,deepseek_name_structure_similarity_temperature_0.0_unknown,516,0,0,0,0,0
02-FXS,deepseek_FXS_temperature_0.0,516,0,0,0,0,0
02-FXS,deepseek_FXS_temperature_0.1,516,0,0,0,0,0
02-FXS,deepseek_FXS_temperature_0.5,516,0,0,0,0,0
02-FXS,deepseek_FXS_temperature_0.9,516,0,0,0,0,0
02-FXS,deepseek_FXS_temperature_0.0_unknown,516,0,0,0,0,0
02-FXS,deepseek_name_structure_temperature_0.0,516,0,0,0,0,0
02-FXS,deepseek_name_structure_temperature_0.1,516,0,0,0,0,0
02-FXS,deepseek_name_structure_temperature_0.5,516,0,0,0,0,0
02-FXS,deepseek_name_structure_temperature_0.9,516,0,0,0,0,0
02-FXS,deepseek_name_structure_temperature_0.0_unknown,516,0,0,0,0,0
02-FXS,jaccard_seed_42,513,0,0,0,0,0
02-FXS,jaccard_seed_27,513,0,0,0,0,0
02-FXS,jaccard_seed_2025,513,0,0,0,0,0
02-FXS,similarity_expansion_seed_42,513,0,0,0,0,0
02-FXS,similarity_expansion_seed_27,513,0,0,0,0,0
02-FXS,similarity_expansion_seed_2025,513,0,0,0,0,0
