Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cellular Process, Mitochondrial Function and Metabolism
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune System and Inflammation, RNA Metabolism, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Lipoprotein Localization -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Cellular Process
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: DNA Repair, Cell Cycle, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, System and Developmental Process, Cell Cycle, Apoptosis
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Apical Protein Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Maintenance Of Protein Location -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Autophagy, Signal Transduction
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Regulation of Biological Process, Reproductive Process, Signal Transduction
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Lipid Metabolism, Signal Transduction
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle, Apoptosis
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cellular Component Organization, System and Developmental Process
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Vesicle-mediated transport, System and Developmental Process
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: System and Developmental Process, Immune System and Inflammation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/02-FXS/02-Name_structure/Temp_0.1/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/02-Name_structure/Temp_0.1/runtime_log.csv
